Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations
2023,5,Europe,Model S,17646,17922,92874.27,120,704,1863.42,Interpolated (Month),12207
2015,2,Asia,Model X,3797,4164,62205.65,75,438,249.46,Official (Quarter),7640
2019,1,North America,Model X,8411,9189,117887.32,82,480,605.59,Interpolated (Month),14071
2021,2,North America,Model 3,6555,7311,89294.91,120,712,700.07,Official (Quarter),9333
2016,12,Middle East,Model Y,12374,13537,114846.78,120,661,1226.88,Estimated (Region),8722
2020,4,Asia,Model X,4656,5043,86930.57,82,477,333.14,Official (Quarter),5798
2015,11,Asia,Model 3,7717,7976,87588.21,82,475,549.84,Interpolated (Month),9961
2020,6,Europe,Cybertruck,8410,9192,73815.61,100,592,746.81,Official (Quarter),8216
2022,4,Europe,Model S,15145,15760,69993.86,100,563,1279.0,Interpolated (Month),13264
2021,3,Middle East,Model Y,7790,8208,50591.6,82,485,566.72,Interpolated (Month),3383
2020,11,Asia,Model 3,8319,9154,117946.76,120,670,836.06,Estimated (Region),10165
2025,5,Asia,Cybertruck,5937,6483,78837.18,82,477,424.79,Interpolated (Month),14940
2020,10,Middle East,Model S,8724,9355,99200.65,82,453,592.8,Estimated (Region),5325
2020,11,Asia,Model S,10737,11658,78316.37,75,426,686.09,Interpolated (Month),5601
2020,4,North America,Cybertruck,4408,5007,91115.89,120,665,439.7,Estimated (Region),8397
2025,3,North America,Cybertruck,17079,18904,111739.13,120,682,1747.18,Official (Quarter),3904
2023,11,Europe,Model S,12540,13453,56018.16,100,592,1113.55,Interpolated (Month),11616
2020,7,Europe,Model S,16546,17888,97411.05,100,585,1451.91,Official (Quarter),14471
2017,1,Europe,Model S,6472,6810,57769.87,100,590,572.77,Estimated (Region),14372
2021,1,Asia,Model 3,7808,8183,102109.35,60,359,420.46,Interpolated (Month),8256
2019,5,Middle East,Model 3,13977,14319,57301.92,75,417,874.26,Official (Quarter),13525
2016,9,Asia,Model S,13993,14982,118537.35,60,349,732.53,Interpolated (Month),4515
2020,1,Asia,Model Y,11592,12383,90750.14,100,567,985.9,Official (Quarter),4971
2025,9,North America,Model S,17854,18489,80631.84,60,355,950.73,Interpolated (Month),5009
2022,4,North America,Model S,10056,11163,78773.3,120,681,1027.22,Estimated (Region),7885
2025,3,Middle East,Cybertruck,5209,5621,65114.79,100,594,464.12,Estimated (Region),4024
2016,12,North America,Cybertruck,5224,5657,87919.34,100,588,460.76,Estimated (Region),13003
2022,5,Europe,Model 3,12541,13898,56168.86,120,710,1335.62,Official (Quarter),11787
2017,6,North America,Model X,6312,6933,117797.61,75,435,411.86,Interpolated (Month),3923
2023,11,North America,Model S,12717,12755,96953.2,60,344,656.2,Estimated (Region),7161
2016,10,Asia,Model S,16449,17908,99184.36,82,460,1134.98,Official (Quarter),9148
2024,1,Middle East,Model X,15387,16070,88150.59,100,561,1294.82,Official (Quarter),8327
2020,9,Middle East,Model S,9326,10117,100029.16,100,596,833.74,Official (Quarter),13947
2023,5,Middle East,Cybertruck,11531,12204,85790.7,60,357,617.49,Estimated (Region),13491
2024,1,North America,Model 3,3819,4249,91284.57,82,482,276.11,Official (Quarter),8146
2015,3,Middle East,Model 3,1899,2125,68958.26,60,343,97.7,Estimated (Region),3941
2023,3,Europe,Model S,17330,18767,67727.18,82,490,1273.75,Estimated (Region),3343
2019,8,Asia,Model Y,15165,16539,94101.31,60,342,777.96,Interpolated (Month),4731
2017,12,Europe,Model S,13031,13160,51340.88,60,354,691.95,Official (Quarter),9296
2023,6,Europe,Model S,13583,14019,55191.14,100,594,1210.25,Estimated (Region),13172
2022,7,Europe,Model S,11182,11651,57416.91,60,333,558.54,Estimated (Region),6494
2019,4,Asia,Model X,11163,12314,69143.22,82,481,805.41,Estimated (Region),3619
2023,1,North America,Model S,9835,9882,92861.79,82,480,708.12,Interpolated (Month),8000
2017,8,Asia,Model X,7581,8402,95971.06,100,585,665.23,Official (Quarter),3100
2025,1,North America,Model X,6076,6746,50549.14,120,692,630.69,Official (Quarter),12525
2018,12,North America,Cybertruck,8427,9430,115869.46,82,476,601.69,Estimated (Region),11899
2024,5,North America,Cybertruck,14312,14795,83375.67,60,333,714.88,Estimated (Region),7740
